Plant Name,Plant Code,State,Sector Name,Prime Movers,Fuel Types
"Ararat Rock Solar, LLC",58492,NC,Electric utility non-cogen,PV,SUN
"Arba Solar, LLC",58801,NC,Electric utility non-cogen,PV,SUN
Arborgate Solar,62623,NC,Electric utility non-cogen,PV,SUN
Arcadia Solar,62744,WI,Electric utility non-cogen,PV,SUN
Archdiocese of Baltimore J,60662,MD,Electric utility non-cogen,PV,SUN
Archdiocese of Baltimore L,60663,MD,Electric utility non-cogen,PV,SUN
Argo Navis Community Solar,61183,MN,Electric utility non-cogen,PV,SUN
Aries Community Solar,60938,MN,Electric utility non-cogen,PV,SUN
Arizona Western College PV,57765,AZ,Electric utility non-cogen,PV,SUN
Arlington Valley Solar Energy II,57680,AZ,Electric utility non-cogen,PV,SUN
Armstrong Solar,61138,MN,Electric utility non-cogen,PV,SUN
Arndt Farm,58315,NC,Electric utility non-cogen,PV,SUN
Arrache 4006,58445,CA,Electric utility non-cogen,PV,SUN
Arrache 4013,58446,CA,Electric utility non-cogen,PV,SUN
Arrache 8083,58447,CA,Electric utility non-cogen,PV,SUN
"Arthur Solar, LLC",62136,NC,Electric utility non-cogen,PV,SUN
Ashby Duffy CSG Solar Farm,61399,MA,Electric utility non-cogen,PV,SUN
"Ashby Solar, LLC CSG",62199,MA,Electric utility non-cogen,PV,SUN
Ashley Solar Farm,59566,NC,Electric utility non-cogen,PV,SUN
"Aspen Solar, LLC",59694,NC,Electric utility non-cogen,PV,SUN
Aspiration G,59737,CA,Electric utility non-cogen,PV,SUN
Athens MN CONX,62062,MN,Electric utility non-cogen,PV,SUN
Atkinson Farm Solar,60982,NC,Electric utility non-cogen,PV,SUN
Atkinson Solar II,62096,NC,Electric utility non-cogen,PV,SUN
Atlanta Falcons Solar,62393,GA,Electric utility,PV,SUN
Atlantic City Convention Center,56900,NJ,Commercial non-cogen,PV,SUN
Atlantic Coast Freezers Solar Facility,58360,NJ,Commercial non-cogen,PV,SUN
Atood II,61960,SC,Electric utility non-cogen,PV,SUN
Atwater Solar,60521,MN,Electric utility non-cogen,PV,SUN
Atwell Island,58366,CA,Electric utility non-cogen,PV,SUN
Atwell Island West Solar,59414,CA,Electric utility non-cogen,PV,SUN
Audrey Solar,58732,NC,Electric utility non-cogen,PV,SUN
Augusta Solar Farm,62906,NJ,Electric utility non-cogen,PV,SUN
"Augustus Farm, LLC",60313,NC,Electric utility non-cogen,PV,SUN
"Aulander Holloman Solar, LLC",62340,NC,Electric utility non-cogen,PV,SUN
"Aulander Hwy 42 Solar, LLC",63332,NC,Electric utility non-cogen,PV,SUN
Auriga Community Solar,61706,MN,Electric utility non-cogen,PV,SUN
"Auten Road Farm, LLC",60634,NC,Electric utility non-cogen,PV,SUN
Avalon Solar,59168,AZ,Electric utility non-cogen,PV,SUN
Avalon Solar II,60062,AZ,Electric utility non-cogen,PV,SUN
Avenal Park,57359,CA,Electric utility non-cogen,PV,SUN
Avra Valley Solar,57657,AZ,Electric utility non-cogen,PV,SUN
Axio Green LLC,58702,MA,Electric utility non-cogen,PV,SUN
Axium Modesto Solar,58039,CA,Electric utility non-cogen,PV,SUN
Ayers Village Solar,59463,MA,Electric utility non-cogen,PV,SUN
Ayrshire,58792,NC,Electric utility non-cogen,PV,SUN
"Azalea Solar, LLC",58482,GA,Electric utility non-cogen,PV,SUN
B.R. Corcoran CSG,61453,MN,Electric utility non-cogen,PV,SUN
B.R. Sartell CSG,61454,MN,Electric utility non-cogen,PV,SUN
B.R. Sauk Rapids CSG,61455,MN,Electric utility non-cogen,PV,SUN
BBB Corporate Headquarters,58093,NJ,Electric utility non-cogen,PV,SUN
BC Solar,60616,OR,Electric utility non-cogen,PV,SUN
"BG Stewart Solar Farm, LLC",59930,NC,Electric utility non-cogen,PV,SUN
BJ's Wholesale Club Inc Dist Center,60227,NJ,Electric utility non-cogen,PV,SUN
"BJ's Wholesale Club, Inc- Uxbridge",60116,MA,Electric utility non-cogen,PV,SUN
BNB Camden Solar,61893,NJ,Electric utility non-cogen,PV,SUN
BPU Solar Farm,61313,KS,Electric utility non-cogen,PV,SUN
BRE,59706,NC,Electric utility non-cogen,PV,SUN
BWC Gibbs Brook,62369,MA,Electric utility non-cogen,PV,SUN
BWC Harlow Brook,62371,MA,Electric utility non-cogen,PV,SUN
BWC Origination 18,62368,MA,Electric utility non-cogen,PV,SUN
BWC Pocasset River,62372,MA,Electric utility non-cogen,PV,SUN
BWC Swan Pond River CSG,60067,MA,Electric utility non-cogen,PV,SUN
"BWC Wading River One, Two, Three CSG",61069,MA,Electric utility non-cogen,PV,SUN
BWC Wareham River,62370,MA,Electric utility non-cogen,PV,SUN
Babcock Preserve,62634,FL,Electric utility,PV,SUN
Babcock Solar Energy Center,59993,FL,Electric utility,"BA,PV","MWH,SUN"
Back River Waste Water Treatment,59026,MD,Electric utility non-cogen,"IC,PV","OBG,SUN"
Badger,62603,NC,Electric utility non-cogen,PV,SUN
Badger 1,58262,AZ,Electric utility non-cogen,PV,SUN
Baer Road CSG,62034,NY,Electric utility non-cogen,PV,SUN
Bailey Farm LLC,59127,NC,Electric utility non-cogen,PV,SUN
